packageOrder,packagePageStart,packagePageEnd,date,pageCount,title,documentType,sourceClass,themes,sourceUrl,pdfUrl,sourceNote
110,667,668,1993-06-30,2,NATO Summit,NSC action memorandum,clinton-library-mdr,nato-expansion; nato-russia; nsc-soc,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 8-9. Confidential."
111,669,671,1994-10-18,3,"NESA (that's ""New European Security Architecture"")",ME,state-foia,nato-expansion; architecture; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000154/C09000154.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000154/C09000154.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C09000154. RELEASE IN FULL."
112,672,673,1995-03,2,Possible Content of a Letter from the Russian Side,Translation,clinton-library-mdr,nato-expansion; nato-russia; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0180 DC Meeting on NATO Expansion and NATO-Russia Relations, March 8, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 79-80. Secret."
113,674,679,1995-04-03,6,Elements of a NATO-Russia Relationship,Options paper,clinton-library-mdr,nato-expansion; nato-russia; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0193 DC Meeting on NATO Expansion and NATO-Russia Relations, April 4, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 84-89. Confidential."
114,680,684,1996-09-07,5,ACTING SECRETARY BRIEFS BALTICS ON ACTION PLAN,TE,state-foia,nato-expansion; architecture; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698268/C06698268.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698268/C06698268.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698268. RELEASE IN FULL."
115,685,691,1997-03-11,7,OFFICIAL INFORMAL: TALBOTT/ISCHINGER CONVERSATION,TE,state-foia,madrid-summit; nato-russia; nac-usnato; cfe-osce; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703066/C06703066.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703066/C06703066.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06703066. RELEASE IN FULL."
116,692,697,1997-03-12,6,"DEPUTY SECRETARY'S MEETING WITH GERMANY POLITICAL DIRECTOR, PARIS, MARCH 4",TE,state-foia,madrid-summit; nato-russia; nac-usnato; cfe-osce; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703345/C06703345.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703345/C06703345.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06703345. RELEASE IN FULL."
117,698,703,1997-03-15,6,"SECRETARY ALBRIGHT'S LUNCH MEETING WITH FM PRIMAKOV: DEPARTMENT OF STATE DINING ROOM, WASHINGTON, DC, MARCH 15, 1997",ME,state-foia,nato-expansion; architecture; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702890/C06702890.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702890/C06702890.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06702890. RELEASE IN FULL."
118,704,706,1998-01-26,3,NATO-Russia Relations,Issue paper,clinton-library-mdr,nato-expansion; nato-russia; nsc-soc,https://clinton.presidentiallibraries.us/items/show/49412,https://clinton.presidentiallibraries.us/files/original/2f760ad25ed4dba1ca8256c93c6cf7f0.pdf,"Source: Clinton Presidential Records, White House Staff and Office Files, Mandatory Declassification Review 2013-0804-M, Clinton Digital Library PDF pages 24-26. Confidential."
119,707,724,1994-12-11,18,Dealing with Russia,ME,state-foia,nato-expansion; pfp; nac-usnato; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000137/C09000137.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000137/C09000137.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C09000137. RELEASE IN FULL."
120,725,729,1997-01-01,5,ST notes on Kissinger piece,Source Lead,state-foia,nato-russia; nac-usnato; strobe-hard-gap,https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000122/C09000122.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000122/C09000122.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release February 2024, Document C09000122. Unclassified."
121,730,735,1999-04-29,6,NAC INTERVENTION 4/29/99,Source Lead,state-foia,nato-russia; nac-usnato; strobe-hard-gap,https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000017/C09000017.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000017/C09000017.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release June 2024, Document C09000017. Unclassified."
122,736,737,1993-10-19,2,NSC Memos for Meeting with Secretary Christopher,White House cover memorandum,clinton-library-mdr,nato-russia; pfp; candidate-states; nsc-soc,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 24-25."
123,738,741,1994-01-07,4,Prime Minister's Agenda for President's Visit to Prague,Cable,clinton-library-mdr,nato-russia; pfp; candidate-states; nsc-soc,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 60-63. Confidential."
124,742,749,1994-01-14,8,Czechs Give PFP an Enthusiastic Reception During Albright/Shalikashvili Visit,Cable,clinton-library-mdr,nato-russia; pfp; candidate-states; nsc-soc,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 68-75. Confidential."
125,750,756,1994-01-26,7,PFP and Central and Eastern Europe,Presidential mission memorandum,clinton-library-mdr,nato-russia; pfp; candidate-states; nsc-soc,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 44-50. Secret."
126,757,763,1997-03-07,7,TALBOTT/CHUBAYS MEETING MARCH 6,TE,state-foia,nato-expansion; nato-russia; cfe-osce; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702859/C06702859.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702859/C06702859.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06702859. RELEASE IN FULL."
127,764,767,1994-10-21,4,THE DEPUTY SECRETARY'S OCTOBER 19 MEETING WITH FCO MINISTER OF STATE DAVID DAVIS,TE,state-foia,nato-expansion; pfp; architecture; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06694673/C06694673.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06694673/C06694673.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06694673. RELEASE IN FULL."
128,768,773,1996-04-17,6,THE DEPUTY SECRETARY MEETS SPD CHAIRMAN LAFONTA1 NE,TE,state-foia,nato-expansion; pfp; architecture; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06697977/C06697977.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06697977/C06697977.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06697977. RELEASE IN FULL."
129,774,784,1994-01-13,11,"President's dinner with President Yeltsin, January 13/14, 1994",Memcon,clinton-digital-library,nato-russia; pfp; candidate-states; nsc-soc,https://clinton.presidentiallibraries.us/items/show/101370,https://clinton.presidentiallibraries.us/files/original/c016beef71be071cd9c96fcf0972fd57.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library item 101370, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation. Item description: ""This Memcon was received as a NSC Cable."" Source PDF label: ""69 Memcon Cable President Boris Yeltsin of Russia (not really a memcon) Jan 13 1994.pdf."". Secret."
130,785,788,1996-05-14,4,DEPUTY SECRETARY'S MEETING WITH SLOVENIAN PM DRNOVSEK,TE,state-foia,nato-expansion; pfp; nac-usnato; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06697839/C06697839.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06697839/C06697839.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06697839. RELEASE IN FULL."
131,789,795,1996-07-16,7,MEMORANDUM OF CONVERSATION WITH PRESIDENT KWASNIESKI OF POLAND,TE,state-foia,nato-expansion; pfp; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698307/C06698307.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698307/C06698307.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698307. RELEASE IN FULL."
132,796,800,1996-10-07,5,"DEPUTY SECRETARY EXPLAINS U.S. CONCERNS TO BELARUSIAN FOREIGN MINISTER SENKO, OCTOBER 3, 1996",TE,state-foia,nato-expansion; open-door-map; architecture; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698741/C06698741.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698741/C06698741.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698741. RELEASE IN FULL."
133,801,805,1994-12-05,5,"December 5, 1994 Letter From Strobe To Chris",GC,state-foia,nato-expansion; open-door-map; pfp; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000138/C09000138.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000138/C09000138.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C09000138. RELEASE IN FULL."
134,806,814,1994-12-19,9,The Vice President's Trip to Russia,ME,state-foia,nato-expansion; nato-russia; nac-usnato; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000148/C09000148.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000148/C09000148.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C09000148. RELEASE IN FULL."
135,815,820,1996-10-01,6,CONVERSATION BETWEEN THE DEPUTY SECRETARY AND SLOVEN IAN FOEIGN MINISTER KRACUN,TE,state-foia,nato-expansion; nato-russia; nac-usnato; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698772/C06698772.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698772/C06698772.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698772. RELEASE IN FULL."
136,821,824,1997-03-11,4,NATO/RUSSIA: DEPUTY SECRETARY'S MARCH 10 CONVERSATION WITH UK FRG POLDIRS,TE,state-foia,madrid-summit; nato-russia; nac-usnato; architecture; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702850/C06702850.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702850/C06702850.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06702850. RELEASE IN PART."
137,825,832,1994-01,8,Your Plenary Lunch with Visegrad Leaders,Presidential meeting brief,clinton-library-mdr,nato-expansion; pfp; nsc-soc,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 21-28. Confidential."
138,833,834,1994-01-12,2,Background: Business-Related Event at K-Mart,Briefing paper,nara-catalog,nato-expansion; pfp; nsc-soc,https://catalog.archives.gov/id/368557013,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/7585709-20170413F-002-008-2024.pdf,"Source: National Archives Catalog, Briefing Books - POTUS Trip to Prague, Czech Republic, January 11-12, 1994, NAID 368557013, PDF pages 37-38. Confidential."
139,835,839,1996-07-30,5,"DEPUTY SECRETARY REVIEWS SECURITY, ECONOMIC ISSUES WITH UKRAINIAN FOREIGN MINISTER, JULY 26, 1996",TE,state-foia,nato-expansion; nac-usnato; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698247/C06698247.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698247/C06698247.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698247. RELEASE IN FULL."
140,840,844,1997-02-08,5,THE DEPUTY SECRETARY'S FEBRUARY 5 MEETING WITH GERMAN MFA STATE MINISTER WERNER HOYER,TE,state-foia,nato-expansion; nato-russia; architecture; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702847/C06702847.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702847/C06702847.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06702847. RELEASE IN FULL."
141,845,847,1997-03-17,3,DEPUTY SECRETARY'S CONVERSATION WITH NATO SYG SOLANA,TE,state-foia,nato-expansion; nato-russia; nac-usnato; architecture,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702882/C06702882.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702882/C06702882.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06702882. RELEASE IN PART."
142,848,851,2000-05-04,4,Deputy Secretary's meeting with Lithuanian Foreign Minister Saudargas,TE,state-foia,nato-expansion; open-door-map; nac-usnato; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_L_Dec2020_C/F-2017-13804/DOC_0C06815091/C06815091.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Dec2020_C/F-2017-13804/DOC_0C06815091/C06815091.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06815091. UNSPECIFIED IN SOURCE."
143,852,855,1993-04-14,4,Havel's Upcoming Meeting with the President: Security Issues on the Agenda,Cable,clinton-library-mdr,nato-russia; architecture; candidate-states; nsc-soc,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 38-41. Confidential."
144,856,856,1993-09-13,1,Effects of Expanding Membership on NATO Military Activities,List,clinton-library-mdr,nato-expansion; candidate-states; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0056 DC Meeting on NATO Summit, 1993, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF page 61. Confidential."
145,857,858,1998-01-22,2,Ratification of NATO Enlargement,Issue paper,clinton-library-mdr,nato-expansion; candidate-states; nsc-soc,https://clinton.presidentiallibraries.us/items/show/49412,https://clinton.presidentiallibraries.us/files/original/2f760ad25ed4dba1ca8256c93c6cf7f0.pdf,"Source: Clinton Presidential Records, White House Staff and Office Files, Mandatory Declassification Review 2013-0804-M, Clinton Digital Library PDF pages 19-20. Confidential."
146,859,862,2000-11-09,4,A Steady Foreign Policy and the Promise of Reforms Mark the New Government Program in Lithuania,Cable,nara-catalog,nato-expansion; candidate-states; nsc-soc,https://catalog.archives.gov/id/23902170,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscea/7585471/42-t-7585471-20111038F-002-019-2015.pdf,"Source: National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Antony Blinken's Files, Lithuania - Meeting with Deputy Foreign Minister Usackas, November 13, 2000, NAID 23902170, PDF pages 8-11. Confidential."
147,863,869,1996-12-02,7,THE VICE PRESIDENT'S MEETING WITH RUSSIAN PRIME MINISTER VIKTOR CHERNOMYRIDN,ME,state-foia,nato-expansion; nato-russia; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06699015/C06699015.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06699015/C06699015.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06699015. RELEASE IN FULL."
148,870,873,1997-01-09,4,MEMORANDUM OF CONVERSATION BETWEEN VICE PRESIDENT GORE AND FRENCH PRESIDENT JACQUES CHIRAC,TE,state-foia,nato-expansion; nato-russia; nac-usnato; cfe-osce,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698865/C06698865.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698865/C06698865.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698865. RELEASE IN FULL."
149,874,876,1997-01-09,3,MEMORANDUM OF CONVERSATION BETWEEN VICE PRESIDENT GORE AND GERMAN CHANCELLOR HELMUT KOHL,TE,state-foia,nato-expansion; nato-russia; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698881/C06698881.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698881/C06698881.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698881. RELEASE IN FULL."
150,877,881,1997-01-09,5,MEMORANDUM OF CONVERSATION BETWEEN VICE PRESIDENT GORE AND RUSSIAN PRIME MINISTER VIKTOR STEPANOVICH CHERNOMYRID,TE,state-foia,nato-expansion; nato-russia; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698875/C06698875.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698875/C06698875.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698875. RELEASE IN FULL."
151,882,884,1994-12-16,3,DECEMBER 15 TALBOTT-RYURIKOV MEETING ON,TE,state-foia,nato-expansion; nac-usnato; architecture; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06694734/C06694734.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06694734/C06694734.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06694734. RELEASE IN FULL."
152,885,887,1996-07-19,3,OFFICIAL - INFORMAL FOR D STAFF ONLY,TE,state-foia,nato-expansion; architecture; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698224/C06698224.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698224/C06698224.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698224. RELEASE IN FULL."
153,888,892,1996-09-19,5,ACTING SECRETARY TALBOTT'S MEETING WITH SLOVAK PARLIAMENT CHAIRMAN IVAN GASPAROVIC,TE,state-foia,nato-expansion; pfp; nac-usnato; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698252/C06698252.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698252/C06698252.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698252. RELEASE IN FULL."
154,893,897,1999-03-26,5,DEPUTY SECRETARY'S MEETING WITH LITHUANIAN PRIME MINISTER VAGNORIUS,TE,state-foia,nato-expansion; open-door-map; architecture; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2021_C/F-2017-13804/DOC_0C06771225/C06771225.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2021_C/F-2017-13804/DOC_0C06771225/C06771225.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06771225. UNSPECIFIED IN SOURCE."
155,898,902,1999-03-29,5,DEPUTY SECRETARY'S MEETING WITH LITHUANIAN PRIME MINISTER VAGNORIUS,TE,state-foia,nato-expansion; open-door-map; architecture; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2021_C/F-2017-13804/DOC_0C06771016/C06771016.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2021_C/F-2017-13804/DOC_0C06771016/C06771016.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06771016. UNSPECIFIED IN SOURCE."
156,903,908,1996-11-01,6,GEORGIAN FOREIGN MINISTER MENAGHARAISHVILL'S MEETING IN WASHINGTON,TE,state-foia,nato-expansion; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698684/C06698684.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698684/C06698684.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698684. RELEASE IN FULL."
157,909,915,1999-09-29,7,Executive Secretariat Sensitive Tasker - To Bratislava E.O. for Change and Acting DCM with attachments,GC,state-foia,nato-expansion; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2020/F-2017-13804/DOC_0C06814750/C06814750.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2020/F-2017-13804/DOC_0C06814750/C06814750.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06814750. UNSPECIFIED IN SOURCE."
158,916,920,1996-10-30,5,DEPUTY SECRETARY'S MEETING WITH CZECH AND POLISH SECURITY DIALOGUE DELEGATIONS,TE,state-foia,nato-expansion; nato-russia; architecture; cfe-osce,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698679/C06698679.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698679/C06698679.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698679. RELEASE IN FULL."
159,921,933,1997-02-27,13,"SECRETARY'S MEETING WITH NORTH ATLANTIC COUNCIL OF MINISTERS IN SPECIAL SESSION, 2/18/97. BRUSSEL",TE,state-foia,nato-russia; pfp; nac-usnato; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702738/C06702738.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702738/C06702738.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06702738. RELEASE IN PART."
160,934,935,1997-03-18,2,DEPUTY SECRETARY'S CONVERSATION WITH FRENCH POLITICAL DIRECTOR JACQUES BLOT,TE,state-foia,nato-expansion; nato-russia; architecture; cfe-osce,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702876/C06702876.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702876/C06702876.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06702876. RELEASE IN FULL."
161,936,937,1994-10-03,2,NATO expansion and Summit Follow-up,GC,state-foia,nato-expansion; architecture; cfe-osce; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000143/C09000143.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000143/C09000143.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C09000143. RELEASE IN FULL."
162,938,949,1995-10-23,12,Memorandum of Conversation - Clinton-Yeltsin One-on-One at Hyde Park,Memcon,nara-catalog,nato-russia; cfe-osce; nsc-soc,https://catalog.archives.gov/id/163545436,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Clinton NSC Records Management Office, 2014-0948-M, NAID 163545436. Secret; Nodis."
